iter	phase	verdict	score	blocking	major	change
15	revise	-	-	-	-	Replaced provider-visible durable IDs with job-local evidence/memory ordinals; added mutation/content/exact-owner/target-bound main+Reviewer sensitive disclosure; immediate terminal candidate scrub plus terminal candidate/scrubbed-turn 180d/500 caps; serialized delete/forget/clear durable cleanup markers; added T19E0 128MiB source/3x memory budget with fail-closed progress/OOM tests; validator clean and PR mirror exact (54 tasks, 19180 LOC)
16	critique	revise	84	0	3	PE: tasks array itself was not in topological order; 128MiB/3x input estimate could not prove an OS-level RAM hard bound; Provider/FinalStart/PhysicalCleanup/AgentBridge/ExternalRegistry lacked one global lock rank; minor: main Provider prompt still exposed stable entry IDs
17	revise	-	-	-	-	Reordered tasks[] to exactly match order[] and the PR table with dependency-precedes-consumer checks; reframed T19E0 as an honest 128MiB source-size guard plus fail-closed catchable resource errors without RSS/OOM claims; froze five-level ranked coordinator/DB-await order and cross-operation barrier suite; main and Reviewer payloads now both use request-local ordinals only; added cleanup epoch CAS for cross-process lost-clear; validator clean (54 tasks, 19230 LOC)
18	critique	revise	95	0	1	PE: finite sorted-key enumeration could miss a task/workspace created after clear-all starts, allowing an old-generation commit_start→publish gap to escape the termination scan; require a global final-start gate covering dynamic keys
19	revise	-	-	-	-	Added writer-fair rank-20 GlobalFinalStartGate with internal shared/exclusive-before-key subrank: all starts/completions/mutations hold shared, start holds it through publish or compensation, and clear uses exclusive without key enumeration; clear now detaches old handles under the barrier, releases every rank before async termination, then performs physical cleanup in a new chain; added deterministic dynamic-key and old-commit→publish tests; validator/mirror clean (54 tasks, 19280 LOC)
20	critique	revise	96	0	1	PE: shared gate held through indefinitely failing publish compensation could starve clear exclusive forever; releasing it without registration would make an unpublished handle invisible to clear
21	revise	-	-	-	-	Added T13A2H unified PendingStartCleanupRegistry and atomic ownership handoff: failed prepared handles become non-publishable, install CleanupToken, register at rank40, then release shared; background retries never hold shared across waits, clear snapshots published and pending controls under exclusive and logically completes despite timeout; added native/Codex pre/post-commit handoff, continuous terminate/DB failure, clear progress and eventual recovery tests; validator/mirror clean (55 tasks, 19630 LOC)
22	critique	revise	95	0	1	PE: PendingStartCleanupRegistry, CleanupToken and kill_on_drop were in-process only; a hard parent-app kill can skip Drop and leave an external Codex process tree alive, while pre-commit has no durable receipt and post-commit receipt has no safe process identity
23	revise	-	-	-	-	Added same-executable Ready→Arm→Contained→Release supervisor protocol and Windows Job Object plus macOS/Linux process-group+exec-gate containment; target stays gated through commit, external ownership is a control channel rather than PID, hard-kill tests cover precommit/postcommit/publish/handoff on all three platforms; validator/mirror clean (57 tasks, 20390 LOC)
24	critique	revise	88	0	2	PE: Unix process groups cannot prove full-tree containment because setsid/setpgid/double-fork descendants escape killpg; ordinary grandchild tests would be false confidence. Also T13A2S2 and T20B2 each compressed several platform/concurrency suites into an implausible 400 LOC PR
25	revise	-	-	-	-	Replaced the false three-platform claim with a frozen StrongTree/DirectOnly/Unavailable capability gate: Windows Job is strong, Linux is strong only after user-systemd+cgroup-v2+cgroup.kill proof, macOS v1 is DirectOnly and external runs receive zero memory while native remains available. Added escape fixtures and visible scope-limited outcomes; split platform implementations and DB/handoff/hard-kill suites into reviewable PRs; validator/mirror clean (63 tasks, 22360 LOC)
26	critique	revise	91	0	2	PE: Linux supervisor was incorrectly placed inside the workload cgroup it must kill after parent death; external Release delivery also lacked a durable conservative audit boundary, so a crash after send but before ActiveRun publish could be misreported as aborted-before-publish
27	revise	-	-	-	-	Kept the Linux supervisor outside the transient workload scope, placed only the gated target inside, pre-opened same-cgroup kill/events controls without leaking bus or FDs, and required populated=0 proof. Added T1X/T2X/T4X one-way prepared→delivery-unknown→recorded audit contracts, suppressed zero-wire rows, stage-by-stage hard-crash tests, count-only health, and exact plan/task mirrors; validator clean (66 tasks, 23210 LOC)
28	critique	revise	90	0	2	PE: T2X release-time CHECK wording made native recorded both require and forbid intent/ack; T14 also cloned a parent's containment proof into independently supervised external children, contradicting the fresh proof required for every prepared start
29	revise	-	-	-	-	Scoped release-time CHECKs by engine and added explicit native/external migration cases. Changed child reservation to FrozenChildMemorySeed only and added T14C: every external child obtains its own supervisor, fresh StrongTree proof, decision, run/injection id, delivery audit and cleanup; parent-strong/child-nonstrong is child-only suppression with zero wire. Updated downstream deletion/E2E dependencies and mirrors (67 tasks, 23590 LOC)
30	critique	pass	98	0	0	PE: both prior majors are closed; release-time CHECK is engine-scoped and each external child now owns fresh containment proof/identity/delivery lifecycle. One minor requested that the eight-stage real hard-kill matrix explicitly run for both external main and child
31	final	pass	98	0	0	Applied the final minor by parameterizing all eight hard-kill phases over external main and independently supervised external child; final validator, dependency topology and plan/task mirror are clean (67 tasks, 23590 LOC)
